evidence_layer,sample_or_terminal,site_or_locality,region,latitude,longitude,elevation_m,elevation_band,date_median_year_ce,lineage_focus,visible_comparator,source_dataset_label,source_publication_label,source_trace,claim_boundary
Period-relevant ancient-DNA sample rows,MOK12.SG,"Mokrin (North Banat District, Kikinda Municipality, Mokrin)",not applicable,45.934722,20.404444,80.0,0-199 m,-1950.0,other,No,AADR v66 1240K public annotation,"Zegarac et al., Scientific Reports 2021",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,MOK13.SG,"Mokrin (North Banat District, Kikinda Municipality, Mokrin)",not applicable,45.934722,20.404444,80.0,0-199 m,-1950.0,other,No,AADR v66 1240K public annotation,"Zegarac et al., Scientific Reports 2021",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,MOK14.SG,"Mokrin (North Banat District, Kikinda Municipality, Mokrin)",not applicable,45.934722,20.404444,80.0,0-199 m,-1950.0,other,No,AADR v66 1240K public annotation,"Zegarac et al., Scientific Reports 2021",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,MOK15.SG,"Mokrin (North Banat District, Kikinda Municipality, Mokrin)",not applicable,45.934722,20.404444,80.0,0-199 m,-1950.0,other,No,AADR v66 1240K public annotation,"Zegarac et al., Scientific Reports 2021",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,MOK16A.SG,"Mokrin (North Banat District, Kikinda Municipality, Mokrin)",not applicable,45.934722,20.404444,80.0,0-199 m,-1950.0,other,No,AADR v66 1240K public annotation,"Zegarac et al., Scientific Reports 2021",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,MOK17A.SG,"Mokrin (North Banat District, Kikinda Municipality, Mokrin)",not applicable,45.934722,20.404444,80.0,0-199 m,-1950.0,other,No,AADR v66 1240K public annotation,"Zegarac et al., Scientific Reports 2021",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,MOK18A.SG,"Mokrin (North Banat District, Kikinda Municipality, Mokrin)",not applicable,45.934722,20.404444,80.0,0-199 m,-1950.0,other,No,AADR v66 1240K public annotation,"Zegarac et al., Scientific Reports 2021",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,MOK19A.SG,"Mokrin (North Banat District, Kikinda Municipality, Mokrin)",not applicable,45.934722,20.404444,80.0,0-199 m,-1950.0,other,No,AADR v66 1240K public annotation,"Zegarac et al., Scientific Reports 2021",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,MOK20.SG,"Mokrin (North Banat District, Kikinda Municipality, Mokrin)",not applicable,45.934722,20.404444,80.0,0-199 m,-1950.0,other,No,AADR v66 1240K public annotation,"Zegarac et al., Scientific Reports 2021",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,MOK21A.SG,"Mokrin (North Banat District, Kikinda Municipality, Mokrin)",not applicable,45.934722,20.404444,80.0,0-199 m,-1950.0,other,No,AADR v66 1240K public annotation,"Zegarac et al., Scientific Reports 2021",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,MOK22.SG,"Mokrin (North Banat District, Kikinda Municipality, Mokrin)",not applicable,45.934722,20.404444,80.0,0-199 m,-1950.0,other,No,AADR v66 1240K public annotation,"Zegarac et al., Scientific Reports 2021",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,MOK23.SG,"Mokrin (North Banat District, Kikinda Municipality, Mokrin)",not applicable,45.934722,20.404444,80.0,0-199 m,-1950.0,other,No,AADR v66 1240K public annotation,"Zegarac et al., Scientific Reports 2021",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,MOK24A.SG,"Mokrin (North Banat District, Kikinda Municipality, Mokrin)",not applicable,45.934722,20.404444,80.0,0-199 m,-1950.0,other,No,AADR v66 1240K public annotation,"Zegarac et al., Scientific Reports 2021",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,MOK25A.SG,"Mokrin (North Banat District, Kikinda Municipality, Mokrin)",not applicable,45.934722,20.404444,80.0,0-199 m,-1950.0,other,No,AADR v66 1240K public annotation,"Zegarac et al., Scientific Reports 2021",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,MOK26A.SG,"Mokrin (North Banat District, Kikinda Municipality, Mokrin)",not applicable,45.934722,20.404444,80.0,0-199 m,-1950.0,other,No,AADR v66 1240K public annotation,"Zegarac et al., Scientific Reports 2021",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,MOK27.SG,"Mokrin (North Banat District, Kikinda Municipality, Mokrin)",not applicable,45.934722,20.404444,80.0,0-199 m,-1950.0,other,No,AADR v66 1240K public annotation,"Zegarac et al., Scientific Reports 2021",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,MOK28A.SG,"Mokrin (North Banat District, Kikinda Municipality, Mokrin)",not applicable,45.934722,20.404444,80.0,0-199 m,-1950.0,other,No,AADR v66 1240K public annotation,"Zegarac et al., Scientific Reports 2021",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,MOK29A.SG,"Mokrin (North Banat District, Kikinda Municipality, Mokrin)",not applicable,45.934722,20.404444,80.0,0-199 m,-1950.0,other,No,AADR v66 1240K public annotation,"Zegarac et al., Scientific Reports 2021",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,MOK30.SG,"Mokrin (North Banat District, Kikinda Municipality, Mokrin)",not applicable,45.934722,20.404444,80.0,0-199 m,-1950.0,other,No,AADR v66 1240K public annotation,"Zegarac et al., Scientific Reports 2021",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,MOK31.SG,"Mokrin (North Banat District, Kikinda Municipality, Mokrin)",not applicable,45.934722,20.404444,80.0,0-199 m,-1950.0,other,No,AADR v66 1240K public annotation,"Zegarac et al., Scientific Reports 2021",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,MOK32.SG,"Mokrin (North Banat District, Kikinda Municipality, Mokrin)",not applicable,45.934722,20.404444,80.0,0-199 m,-1950.0,other,No,AADR v66 1240K public annotation,"Zegarac et al., Scientific Reports 2021",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,MOK33.SG,"Mokrin (North Banat District, Kikinda Municipality, Mokrin)",not applicable,45.934722,20.404444,80.0,0-199 m,-1950.0,other,No,AADR v66 1240K public annotation,"Zegarac et al., Scientific Reports 2021",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,MOK9B.SG,"Mokrin (North Banat District, Kikinda Municipality, Mokrin)",not applicable,45.934722,20.404444,80.0,0-199 m,-1950.0,other,No,AADR v66 1240K public annotation,"Zegarac et al., Scientific Reports 2021",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,RISE349.SG,"Battonya-Vörös-Oktober (Békés County, Mezőkovácsháza)",not applicable,46.356,20.985,101.0,0-199 m,-1907.0,other,No,AADR v66 1240K public annotation,"Allentoft et al., Nature 2015",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,RISE371.SG,"Szőreg-C (Sziv-Utca) (Csongrád-Csanád County, Szeged)",not applicable,46.22,20.199,86.0,0-199 m,-2038.0,other,No,AADR v66 1240K public annotation,"Allentoft et al., Nature 2015",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,RISE373.SG,"Szőreg-C (Sziv-Utca) (Csongrád-Csanád County, Szeged)",not applicable,46.22,20.199,86.0,0-199 m,-1790.5,other,No,AADR v66 1240K public annotation,"Allentoft et al., Nature 2015",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,RISE595.SG,Velika Gruda (Kotor Municipality),not applicable,42.3822,18.7403,13.0,0-199 m,-1275.0,other,No,AADR v66 1240K public annotation,"Allentoft et al., Nature 2015",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,RISE596.SG,Velika Gruda (Kotor Municipality),not applicable,42.3822,18.7403,13.0,0-199 m,-600.0,other,No,AADR v66 1240K public annotation,"Allentoft et al., Nature 2015",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I10377.AG,"Buchinci-Skopje (Skopje, Ilinden)",not applicable,42.03,21.64,372.0,200-499 m,-600.0,R1b,Yes,AADR v66 1240K public annotation,"Lazaridis et al., Science 2022",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I10378.AG,"Buchinci-Skopje (Skopje, Ilinden)",not applicable,42.03,21.64,372.0,200-499 m,-600.0,other,No,AADR v66 1240K public annotation,"Lazaridis et al., Science 2022",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I10379.AG,"Buchinci-Skopje (Skopje, Ilinden)",not applicable,42.03,21.64,372.0,200-499 m,-654.0,other,No,AADR v66 1240K public annotation,"Lazaridis et al., Science 2022",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I10380.AG,"Govrlevo-Skopje (Skopje, Sopište)",not applicable,41.93,21.34,676.0,500-799 m,-600.0,other,No,AADR v66 1240K public annotation,"Lazaridis et al., Science 2022",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I10381.AG,"Govrlevo-Skopje (Skopje, Sopište)",not applicable,41.93,21.34,676.0,500-799 m,-627.0,other,No,AADR v66 1240K public annotation,"Lazaridis et al., Science 2022",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I10382.AG,"Govrlevo-Skopje (Skopje, Sopište)",not applicable,41.93,21.34,676.0,500-799 m,-600.0,other,No,AADR v66 1240K public annotation,"Lazaridis et al., Science 2022",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I13166.AG,Velika Gruda (Kotor Municipality),not applicable,42.3822,18.7403,13.0,0-199 m,-1225.0,other,No,AADR v66 1240K public annotation,"Lazaridis et al., Science 2022",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I13167.AG,Velika Gruda (Kotor Municipality),not applicable,42.3822,18.7403,13.0,0-199 m,-1134.0,J2b,Yes,AADR v66 1240K public annotation,"Lazaridis et al., Science 2022",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I13168.AG,Velika Gruda (Kotor Municipality),not applicable,42.3822,18.7403,13.0,0-199 m,-1343.5,other,No,AADR v66 1240K public annotation,"Lazaridis et al., Science 2022",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I13169.AG,Velika Gruda (Kotor Municipality),not applicable,42.3822,18.7403,13.0,0-199 m,-1339.0,J2b,Yes,AADR v66 1240K public annotation,"Lazaridis et al., Science 2022",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I13171.AG,Velika Gruda (Kotor Municipality),not applicable,42.3822,18.7403,13.0,0-199 m,-1225.0,other,No,AADR v66 1240K public annotation,"Lazaridis et al., Science 2022",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I13172.AG,Velika Gruda (Kotor Municipality),not applicable,42.3822,18.7403,13.0,0-199 m,-1256.0,other,No,AADR v66 1240K public annotation,"Lazaridis et al., Science 2022",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I13775.AG,Velika Gruda (Kotor Municipality),not applicable,42.3822,18.7403,13.0,0-199 m,-1350.0,J2b,Yes,AADR v66 1240K public annotation,"Lazaridis et al., Science 2022",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I13776.AG,Velika Gruda (Kotor Municipality),not applicable,42.3822,18.7403,13.0,0-199 m,-1350.0,other,No,AADR v66 1240K public annotation,"Lazaridis et al., Science 2022",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I13777.AG,Velika Gruda (Kotor Municipality),not applicable,42.3822,18.7403,13.0,0-199 m,-1350.0,J2b,Yes,AADR v66 1240K public annotation,"Lazaridis et al., Science 2022",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I13778.AG,Velika Gruda (Kotor Municipality),not applicable,42.3822,18.7403,13.0,0-199 m,-1299.0,J2b,Yes,AADR v66 1240K public annotation,"Lazaridis et al., Science 2022",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I14497.AG,Velika Gruda (Kotor Municipality),not applicable,42.3822,18.7403,13.0,0-199 m,-1150.0,other,No,AADR v66 1240K public annotation,"Lazaridis et al., Science 2022",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I14498.AG,Velika Gruda (Kotor Municipality),not applicable,42.3822,18.7403,13.0,0-199 m,-1150.0,J2b,Yes,AADR v66 1240K public annotation,"Lazaridis et al., Science 2022",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I14499.AG,Velika Gruda (Kotor Municipality),not applicable,42.3822,18.7403,13.0,0-199 m,-1350.0,other,No,AADR v66 1240K public annotation,"Lazaridis et al., Science 2022",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I14500.AG,Velika Gruda (Kotor Municipality),not applicable,42.3822,18.7403,13.0,0-199 m,-1150.0,other,No,AADR v66 1240K public annotation,"Lazaridis et al., Science 2022",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I14501.AG,Velika Gruda (Kotor Municipality),not applicable,42.3822,18.7403,13.0,0-199 m,-1225.0,other,No,AADR v66 1240K public annotation,"Lazaridis et al., Science 2022",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I14688.AG,"Çinamak (Northern Albania, Kukës County, Kukës Municipality, Surroj)",not applicable,42.016111,20.369444,498.0,200-499 m,-500.0,R1b,Yes,AADR v66 1240K public annotation,"Lazaridis et al., Science 2022",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I14690.AG,"Çinamak (Northern Albania, Kukës County, Kukës Municipality, Surroj)",not applicable,42.016111,20.369444,498.0,200-499 m,-1050.0,R1b,Yes,AADR v66 1240K public annotation,"Lazaridis et al., Science 2022",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I14692.AG,"Çinamak (Northern Albania, Kukës County, Kukës Municipality, Surroj)",not applicable,42.016111,20.369444,498.0,200-499 m,-950.0,other,No,AADR v66 1240K public annotation,"Lazaridis et al., Science 2022",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I15486.AG,"Viminacium-Pirivoj (Branicevo District, Požarevac Municipality, Kostolac)",not applicable,44.733533,21.233453,71.0,0-199 m,200.5,other,No,AADR v66 1240K public annotation,"Olalde et al., Cell 2023",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I15487.AG,"Viminacium-Rit (Braničevo District, Požarevac Municipality, Kostolac)",not applicable,44.733534,21.233453,71.0,0-199 m,250.0,other,No,AADR v66 1240K public annotation,"Olalde et al., Cell 2023",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I15488.AG,"Viminacium-Rit (Braničevo District, Požarevac Municipality, Kostolac)",not applicable,44.733534,21.233453,71.0,0-199 m,250.0,other,No,AADR v66 1240K public annotation,"Olalde et al., Cell 2023",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I15489.AG,"Viminacium-Rit (Braničevo District, Požarevac Municipality, Kostolac)",not applicable,44.733534,21.233453,71.0,0-199 m,250.0,G2a,Yes,AADR v66 1240K public annotation,"Olalde et al., Cell 2023",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I15490.AG,"Viminacium-Pirivoj (Branicevo District, Požarevac Municipality, Kostolac)",not applicable,44.733533,21.233453,71.0,0-199 m,200.5,other,No,AADR v66 1240K public annotation,"Olalde et al., Cell 2023",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I15491.AG,"Viminacium-Pirivoj (Branicevo District, Požarevac Municipality, Kostolac)",not applicable,44.733533,21.233453,71.0,0-199 m,200.5,other,No,AADR v66 1240K public annotation,"Olalde et al., Cell 2023",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I15492.AG,"Viminacium-Pirivoj (Branicevo District, Požarevac Municipality, Kostolac)",not applicable,44.733533,21.233453,71.0,0-199 m,301.5,R1b,Yes,AADR v66 1240K public annotation,"Olalde et al., Cell 2023",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I15493.AG,"Viminacium-Pirivoj (Branicevo District, Požarevac Municipality, Kostolac)",not applicable,44.733533,21.233453,71.0,0-199 m,200.5,other,No,AADR v66 1240K public annotation,"Olalde et al., Cell 2023",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I15494.AG,"Viminacium-Pirivoj (Branicevo District, Požarevac Municipality, Kostolac)",not applicable,44.733533,21.233453,71.0,0-199 m,200.5,other,No,AADR v66 1240K public annotation,"Olalde et al., Cell 2023",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I15495.AG,"Viminacium-Pirivoj (Branicevo District, Požarevac Municipality, Kostolac)",not applicable,44.733533,21.233453,71.0,0-199 m,200.5,other,No,AADR v66 1240K public annotation,"Olalde et al., Cell 2023",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I15496.AG,"Viminacium-Rit (Braničevo District, Požarevac Municipality, Kostolac)",not applicable,44.733534,21.233453,71.0,0-199 m,250.0,other,No,AADR v66 1240K public annotation,"Olalde et al., Cell 2023",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
