scenario_order,matched_R1a_comparator,branch_resolution_layer,degradation_mode,source_visibility_fraction_retained,source_visibility_loss_percent,baseline_source_terminal_count,baseline_receiver_terminal_count,synthetic_source_terminal_count_continuous,baseline_source_country_count,synthetic_source_country_count_continuous,receiver_country_count,source_country_gate_pass,receiver_country_gate_pass,synthetic_source_adequacy_A_s,branch_layer_diversity_contrast_D,source_adequacy_gate_A_s,matched_R1a_A_s_floor,matched_R1a_D_ceiling,PH908_reference_A_s,PH908_reference_D,source_adequacy_gate_fraction_retained,PH908_A_s_equivalent_fraction_retained,basic_compatibility_state,matched_R1a_comparator_state,PH908_like_A_s_state,decision_state,interpretation,source_files,claim_boundary
030,R-Z280,Depth-3 cutset layer,deterministic source-terminal and source-country thinning with audited branch-layer collapse,0.100000,90.000,1281,144,128.100000,11,1.100000,9,No,Yes,0.889583,-0.589851,1.000000,8.895833,-2.091958,0.214047,1.323110,0.112412,0.024061,No,No,No,no-call after degradation because source-country visibility falls below threshold,R-Z280 under Depth-3 cutset layer with 10.0% source visibility retained gives synthetic A_s=0.890 and D=-0.590; decision state: no-call after degradation because source-country visibility falls below threshold.,tables/11_branch_unit_reliability_pass_matrix.csv; tables/26_benchmark_audit_card_matrix.csv; source_data/core_figure4_rarefaction_degradation/figure4_synthetic_visibility_fraction_design.csv; source_data/core_figure4_rarefaction_degradation/figure4_rarefaction_degradation_rule_source.csv,"Synthetic degradation control for matched R1a comparators only; deterministic thinning is an operating-characteristic stress test, not a population-size estimate or evidence of geographic origin, ethnic identity, population continuity, chronology, or migration route."
031,R-Z280,Count-balanced frontier layer,deterministic source-terminal and source-country thinning with audited branch-layer collapse,1.000000,0.000,1281,144,1281.000000,11,11.000000,9,Yes,Yes,8.895833,-0.589851,1.000000,8.895833,-2.091958,0.214047,1.323110,0.112412,0.024061,Yes,No,No,basic compatible after degradation but outside the matched R1a-comparator envelope,R-Z280 under Count-balanced frontier layer with 100.0% source visibility retained gives synthetic A_s=8.896 and D=-0.590; decision state: basic compatible after degradation but outside the matched R1a-comparator envelope.,tables/11_branch_unit_reliability_pass_matrix.csv; tables/26_benchmark_audit_card_matrix.csv; source_data/core_figure4_rarefaction_degradation/figure4_synthetic_visibility_fraction_design.csv; source_data/core_figure4_rarefaction_degradation/figure4_rarefaction_degradation_rule_source.csv,"Synthetic degradation control for matched R1a comparators only; deterministic thinning is an operating-characteristic stress test, not a population-size estimate or evidence of geographic origin, ethnic identity, population continuity, chronology, or migration route."
032,R-Z280,Count-balanced frontier layer,deterministic source-terminal and source-country thinning with audited branch-layer collapse,0.750000,25.000,1281,144,960.750000,11,8.250000,9,Yes,Yes,6.671875,-0.589851,1.000000,8.895833,-2.091958,0.214047,1.323110,0.112412,0.024061,Yes,No,No,basic compatible after degradation but outside the matched R1a-comparator envelope,R-Z280 under Count-balanced frontier layer with 75.0% source visibility retained gives synthetic A_s=6.672 and D=-0.590; decision state: basic compatible after degradation but outside the matched R1a-comparator envelope.,tables/11_branch_unit_reliability_pass_matrix.csv; tables/26_benchmark_audit_card_matrix.csv; source_data/core_figure4_rarefaction_degradation/figure4_synthetic_visibility_fraction_design.csv; source_data/core_figure4_rarefaction_degradation/figure4_rarefaction_degradation_rule_source.csv,"Synthetic degradation control for matched R1a comparators only; deterministic thinning is an operating-characteristic stress test, not a population-size estimate or evidence of geographic origin, ethnic identity, population continuity, chronology, or migration route."
033,R-Z280,Count-balanced frontier layer,deterministic source-terminal and source-country thinning with audited branch-layer collapse,0.500000,50.000,1281,144,640.500000,11,5.500000,9,Yes,Yes,4.447917,-0.589851,1.000000,8.895833,-2.091958,0.214047,1.323110,0.112412,0.024061,Yes,No,No,basic compatible after degradation but outside the matched R1a-comparator envelope,R-Z280 under Count-balanced frontier layer with 50.0% source visibility retained gives synthetic A_s=4.448 and D=-0.590; decision state: basic compatible after degradation but outside the matched R1a-comparator envelope.,tables/11_branch_unit_reliability_pass_matrix.csv; tables/26_benchmark_audit_card_matrix.csv; source_data/core_figure4_rarefaction_degradation/figure4_synthetic_visibility_fraction_design.csv; source_data/core_figure4_rarefaction_degradation/figure4_rarefaction_degradation_rule_source.csv,"Synthetic degradation control for matched R1a comparators only; deterministic thinning is an operating-characteristic stress test, not a population-size estimate or evidence of geographic origin, ethnic identity, population continuity, chronology, or migration route."
034,R-Z280,Count-balanced frontier layer,deterministic source-terminal and source-country thinning with audited branch-layer collapse,0.250000,75.000,1281,144,320.250000,11,2.750000,9,No,Yes,2.223958,-0.589851,1.000000,8.895833,-2.091958,0.214047,1.323110,0.112412,0.024061,No,No,No,no-call after degradation because source-country visibility falls below threshold,R-Z280 under Count-balanced frontier layer with 25.0% source visibility retained gives synthetic A_s=2.224 and D=-0.590; decision state: no-call after degradation because source-country visibility falls below threshold.,tables/11_branch_unit_reliability_pass_matrix.csv; tables/26_benchmark_audit_card_matrix.csv; source_data/core_figure4_rarefaction_degradation/figure4_synthetic_visibility_fraction_design.csv; source_data/core_figure4_rarefaction_degradation/figure4_rarefaction_degradation_rule_source.csv,"Synthetic degradation control for matched R1a comparators only; deterministic thinning is an operating-characteristic stress test, not a population-size estimate or evidence of geographic origin, ethnic identity, population continuity, chronology, or migration route."
035,R-Z280,Count-balanced frontier layer,deterministic source-terminal and source-country thinning with audited branch-layer collapse,0.125000,87.500,1281,144,160.125000,11,1.375000,9,No,Yes,1.111979,-0.589851,1.000000,8.895833,-2.091958,0.214047,1.323110,0.112412,0.024061,No,No,No,no-call after degradation because source-country visibility falls below threshold,R-Z280 under Count-balanced frontier layer with 12.5% source visibility retained gives synthetic A_s=1.112 and D=-0.590; decision state: no-call after degradation because source-country visibility falls below threshold.,tables/11_branch_unit_reliability_pass_matrix.csv; tables/26_benchmark_audit_card_matrix.csv; source_data/core_figure4_rarefaction_degradation/figure4_synthetic_visibility_fraction_design.csv; source_data/core_figure4_rarefaction_degradation/figure4_rarefaction_degradation_rule_source.csv,"Synthetic degradation control for matched R1a comparators only; deterministic thinning is an operating-characteristic stress test, not a population-size estimate or evidence of geographic origin, ethnic identity, population continuity, chronology, or migration route."
036,R-Z280,Count-balanced frontier layer,deterministic source-terminal and source-country thinning with audited branch-layer collapse,0.100000,90.000,1281,144,128.100000,11,1.100000,9,No,Yes,0.889583,-0.589851,1.000000,8.895833,-2.091958,0.214047,1.323110,0.112412,0.024061,No,No,No,no-call after degradation because source-country visibility falls below threshold,R-Z280 under Count-balanced frontier layer with 10.0% source visibility retained gives synthetic A_s=0.890 and D=-0.590; decision state: no-call after degradation because source-country visibility falls below threshold.,tables/11_branch_unit_reliability_pass_matrix.csv; tables/26_benchmark_audit_card_matrix.csv; source_data/core_figure4_rarefaction_degradation/figure4_synthetic_visibility_fraction_design.csv; source_data/core_figure4_rarefaction_degradation/figure4_rarefaction_degradation_rule_source.csv,"Synthetic degradation control for matched R1a comparators only; deterministic thinning is an operating-characteristic stress test, not a population-size estimate or evidence of geographic origin, ethnic identity, population continuity, chronology, or migration route."
037,R-M458,Deepest observed branch layer,deterministic source-terminal and source-country thinning with audited branch-layer collapse,1.000000,0.000,782,80,782.000000,11,11.000000,10,Yes,Yes,9.775000,-2.254574,1.000000,8.895833,-2.091958,0.214047,1.323110,0.102302,0.021897,Yes,Yes,No,matched R1a-comparator compatible after degradation,R-M458 under Deepest observed branch layer with 100.0% source visibility retained gives synthetic A_s=9.775 and D=-2.255; decision state: matched R1a-comparator compatible after degradation.,tables/11_branch_unit_reliability_pass_matrix.csv; tables/26_benchmark_audit_card_matrix.csv; source_data/core_figure4_rarefaction_degradation/figure4_synthetic_visibility_fraction_design.csv; source_data/core_figure4_rarefaction_degradation/figure4_rarefaction_degradation_rule_source.csv,"Synthetic degradation control for matched R1a comparators only; deterministic thinning is an operating-characteristic stress test, not a population-size estimate or evidence of geographic origin, ethnic identity, population continuity, chronology, or migration route."
038,R-M458,Deepest observed branch layer,deterministic source-terminal and source-country thinning with audited branch-layer collapse,0.750000,25.000,782,80,586.500000,11,8.250000,10,Yes,Yes,7.331250,-2.254574,1.000000,8.895833,-2.091958,0.214047,1.323110,0.102302,0.021897,Yes,No,No,basic compatible after degradation but outside the matched R1a-comparator envelope,R-M458 under Deepest observed branch layer with 75.0% source visibility retained gives synthetic A_s=7.331 and D=-2.255; decision state: basic compatible after degradation but outside the matched R1a-comparator envelope.,tables/11_branch_unit_reliability_pass_matrix.csv; tables/26_benchmark_audit_card_matrix.csv; source_data/core_figure4_rarefaction_degradation/figure4_synthetic_visibility_fraction_design.csv; source_data/core_figure4_rarefaction_degradation/figure4_rarefaction_degradation_rule_source.csv,"Synthetic degradation control for matched R1a comparators only; deterministic thinning is an operating-characteristic stress test, not a population-size estimate or evidence of geographic origin, ethnic identity, population continuity, chronology, or migration route."
039,R-M458,Deepest observed branch layer,deterministic source-terminal and source-country thinning with audited branch-layer collapse,0.500000,50.000,782,80,391.000000,11,5.500000,10,Yes,Yes,4.887500,-2.254574,1.000000,8.895833,-2.091958,0.214047,1.323110,0.102302,0.021897,Yes,No,No,basic compatible after degradation but outside the matched R1a-comparator envelope,R-M458 under Deepest observed branch layer with 50.0% source visibility retained gives synthetic A_s=4.888 and D=-2.255; decision state: basic compatible after degradation but outside the matched R1a-comparator envelope.,tables/11_branch_unit_reliability_pass_matrix.csv; tables/26_benchmark_audit_card_matrix.csv; source_data/core_figure4_rarefaction_degradation/figure4_synthetic_visibility_fraction_design.csv; source_data/core_figure4_rarefaction_degradation/figure4_rarefaction_degradation_rule_source.csv,"Synthetic degradation control for matched R1a comparators only; deterministic thinning is an operating-characteristic stress test, not a population-size estimate or evidence of geographic origin, ethnic identity, population continuity, chronology, or migration route."
040,R-M458,Deepest observed branch layer,deterministic source-terminal and source-country thinning with audited branch-layer collapse,0.250000,75.000,782,80,195.500000,11,2.750000,10,No,Yes,2.443750,-2.254574,1.000000,8.895833,-2.091958,0.214047,1.323110,0.102302,0.021897,No,No,No,no-call after degradation because source-country visibility falls below threshold,R-M458 under Deepest observed branch layer with 25.0% source visibility retained gives synthetic A_s=2.444 and D=-2.255; decision state: no-call after degradation because source-country visibility falls below threshold.,tables/11_branch_unit_reliability_pass_matrix.csv; tables/26_benchmark_audit_card_matrix.csv; source_data/core_figure4_rarefaction_degradation/figure4_synthetic_visibility_fraction_design.csv; source_data/core_figure4_rarefaction_degradation/figure4_rarefaction_degradation_rule_source.csv,"Synthetic degradation control for matched R1a comparators only; deterministic thinning is an operating-characteristic stress test, not a population-size estimate or evidence of geographic origin, ethnic identity, population continuity, chronology, or migration route."
041,R-M458,Deepest observed branch layer,deterministic source-terminal and source-country thinning with audited branch-layer collapse,0.125000,87.500,782,80,97.750000,11,1.375000,10,No,Yes,1.221875,-2.254574,1.000000,8.895833,-2.091958,0.214047,1.323110,0.102302,0.021897,No,No,No,no-call after degradation because source-country visibility falls below threshold,R-M458 under Deepest observed branch layer with 12.5% source visibility retained gives synthetic A_s=1.222 and D=-2.255; decision state: no-call after degradation because source-country visibility falls below threshold.,tables/11_branch_unit_reliability_pass_matrix.csv; tables/26_benchmark_audit_card_matrix.csv; source_data/core_figure4_rarefaction_degradation/figure4_synthetic_visibility_fraction_design.csv; source_data/core_figure4_rarefaction_degradation/figure4_rarefaction_degradation_rule_source.csv,"Synthetic degradation control for matched R1a comparators only; deterministic thinning is an operating-characteristic stress test, not a population-size estimate or evidence of geographic origin, ethnic identity, population continuity, chronology, or migration route."
042,R-M458,Deepest observed branch layer,deterministic source-terminal and source-country thinning with audited branch-layer collapse,0.100000,90.000,782,80,78.200000,11,1.100000,10,No,Yes,0.977500,-2.254574,1.000000,8.895833,-2.091958,0.214047,1.323110,0.102302,0.021897,No,No,No,no-call after degradation because source-country visibility falls below threshold,R-M458 under Deepest observed branch layer with 10.0% source visibility retained gives synthetic A_s=0.978 and D=-2.255; decision state: no-call after degradation because source-country visibility falls below threshold.,tables/11_branch_unit_reliability_pass_matrix.csv; tables/26_benchmark_audit_card_matrix.csv; source_data/core_figure4_rarefaction_degradation/figure4_synthetic_visibility_fraction_design.csv; source_data/core_figure4_rarefaction_degradation/figure4_rarefaction_degradation_rule_source.csv,"Synthetic degradation control for matched R1a comparators only; deterministic thinning is an operating-characteristic stress test, not a population-size estimate or evidence of geographic origin, ethnic identity, population continuity, chronology, or migration route."
043,R-M458,Residualized-count branch layer,deterministic source-terminal and source-country thinning with audited branch-layer collapse,1.000000,0.000,782,80,782.000000,11,11.000000,10,Yes,Yes,9.775000,-2.254574,1.000000,8.895833,-2.091958,0.214047,1.323110,0.102302,0.021897,Yes,Yes,No,matched R1a-comparator compatible after degradation,R-M458 under Residualized-count branch layer with 100.0% source visibility retained gives synthetic A_s=9.775 and D=-2.255; decision state: matched R1a-comparator compatible after degradation.,tables/11_branch_unit_reliability_pass_matrix.csv; tables/26_benchmark_audit_card_matrix.csv; source_data/core_figure4_rarefaction_degradation/figure4_synthetic_visibility_fraction_design.csv; source_data/core_figure4_rarefaction_degradation/figure4_rarefaction_degradation_rule_source.csv,"Synthetic degradation control for matched R1a comparators only; deterministic thinning is an operating-characteristic stress test, not a population-size estimate or evidence of geographic origin, ethnic identity, population continuity, chronology, or migration route."
044,R-M458,Residualized-count branch layer,deterministic source-terminal and source-country thinning with audited branch-layer collapse,0.750000,25.000,782,80,586.500000,11,8.250000,10,Yes,Yes,7.331250,-2.254574,1.000000,8.895833,-2.091958,0.214047,1.323110,0.102302,0.021897,Yes,No,No,basic compatible after degradation but outside the matched R1a-comparator envelope,R-M458 under Residualized-count branch layer with 75.0% source visibility retained gives synthetic A_s=7.331 and D=-2.255; decision state: basic compatible after degradation but outside the matched R1a-comparator envelope.,tables/11_branch_unit_reliability_pass_matrix.csv; tables/26_benchmark_audit_card_matrix.csv; source_data/core_figure4_rarefaction_degradation/figure4_synthetic_visibility_fraction_design.csv; source_data/core_figure4_rarefaction_degradation/figure4_rarefaction_degradation_rule_source.csv,"Synthetic degradation control for matched R1a comparators only; deterministic thinning is an operating-characteristic stress test, not a population-size estimate or evidence of geographic origin, ethnic identity, population continuity, chronology, or migration route."
045,R-M458,Residualized-count branch layer,deterministic source-terminal and source-country thinning with audited branch-layer collapse,0.500000,50.000,782,80,391.000000,11,5.500000,10,Yes,Yes,4.887500,-2.254574,1.000000,8.895833,-2.091958,0.214047,1.323110,0.102302,0.021897,Yes,No,No,basic compatible after degradation but outside the matched R1a-comparator envelope,R-M458 under Residualized-count branch layer with 50.0% source visibility retained gives synthetic A_s=4.888 and D=-2.255; decision state: basic compatible after degradation but outside the matched R1a-comparator envelope.,tables/11_branch_unit_reliability_pass_matrix.csv; tables/26_benchmark_audit_card_matrix.csv; source_data/core_figure4_rarefaction_degradation/figure4_synthetic_visibility_fraction_design.csv; source_data/core_figure4_rarefaction_degradation/figure4_rarefaction_degradation_rule_source.csv,"Synthetic degradation control for matched R1a comparators only; deterministic thinning is an operating-characteristic stress test, not a population-size estimate or evidence of geographic origin, ethnic identity, population continuity, chronology, or migration route."
046,R-M458,Residualized-count branch layer,deterministic source-terminal and source-country thinning with audited branch-layer collapse,0.250000,75.000,782,80,195.500000,11,2.750000,10,No,Yes,2.443750,-2.254574,1.000000,8.895833,-2.091958,0.214047,1.323110,0.102302,0.021897,No,No,No,no-call after degradation because source-country visibility falls below threshold,R-M458 under Residualized-count branch layer with 25.0% source visibility retained gives synthetic A_s=2.444 and D=-2.255; decision state: no-call after degradation because source-country visibility falls below threshold.,tables/11_branch_unit_reliability_pass_matrix.csv; tables/26_benchmark_audit_card_matrix.csv; source_data/core_figure4_rarefaction_degradation/figure4_synthetic_visibility_fraction_design.csv; source_data/core_figure4_rarefaction_degradation/figure4_rarefaction_degradation_rule_source.csv,"Synthetic degradation control for matched R1a comparators only; deterministic thinning is an operating-characteristic stress test, not a population-size estimate or evidence of geographic origin, ethnic identity, population continuity, chronology, or migration route."
047,R-M458,Residualized-count branch layer,deterministic source-terminal and source-country thinning with audited branch-layer collapse,0.125000,87.500,782,80,97.750000,11,1.375000,10,No,Yes,1.221875,-2.254574,1.000000,8.895833,-2.091958,0.214047,1.323110,0.102302,0.021897,No,No,No,no-call after degradation because source-country visibility falls below threshold,R-M458 under Residualized-count branch layer with 12.5% source visibility retained gives synthetic A_s=1.222 and D=-2.255; decision state: no-call after degradation because source-country visibility falls below threshold.,tables/11_branch_unit_reliability_pass_matrix.csv; tables/26_benchmark_audit_card_matrix.csv; source_data/core_figure4_rarefaction_degradation/figure4_synthetic_visibility_fraction_design.csv; source_data/core_figure4_rarefaction_degradation/figure4_rarefaction_degradation_rule_source.csv,"Synthetic degradation control for matched R1a comparators only; deterministic thinning is an operating-characteristic stress test, not a population-size estimate or evidence of geographic origin, ethnic identity, population continuity, chronology, or migration route."
048,R-M458,Residualized-count branch layer,deterministic source-terminal and source-country thinning with audited branch-layer collapse,0.100000,90.000,782,80,78.200000,11,1.100000,10,No,Yes,0.977500,-2.254574,1.000000,8.895833,-2.091958,0.214047,1.323110,0.102302,0.021897,No,No,No,no-call after degradation because source-country visibility falls below threshold,R-M458 under Residualized-count branch layer with 10.0% source visibility retained gives synthetic A_s=0.978 and D=-2.255; decision state: no-call after degradation because source-country visibility falls below threshold.,tables/11_branch_unit_reliability_pass_matrix.csv; tables/26_benchmark_audit_card_matrix.csv; source_data/core_figure4_rarefaction_degradation/figure4_synthetic_visibility_fraction_design.csv; source_data/core_figure4_rarefaction_degradation/figure4_rarefaction_degradation_rule_source.csv,"Synthetic degradation control for matched R1a comparators only; deterministic thinning is an operating-characteristic stress test, not a population-size estimate or evidence of geographic origin, ethnic identity, population continuity, chronology, or migration route."
049,R-M458,Direct-child cutset layer,deterministic source-terminal and source-country thinning with audited branch-layer collapse,1.000000,0.000,782,80,782.000000,11,11.000000,10,Yes,Yes,9.775000,0.085482,1.000000,8.895833,-2.091958,0.214047,1.323110,0.102302,0.021897,No,No,No,rejected after degradation,R-M458 under Direct-child cutset layer with 100.0% source visibility retained gives synthetic A_s=9.775 and D=0.085; decision state: rejected after degradation.,tables/11_branch_unit_reliability_pass_matrix.csv; tables/26_benchmark_audit_card_matrix.csv; source_data/core_figure4_rarefaction_degradation/figure4_synthetic_visibility_fraction_design.csv; source_data/core_figure4_rarefaction_degradation/figure4_rarefaction_degradation_rule_source.csv,"Synthetic degradation control for matched R1a comparators only; deterministic thinning is an operating-characteristic stress test, not a population-size estimate or evidence of geographic origin, ethnic identity, population continuity, chronology, or migration route."
050,R-M458,Direct-child cutset layer,deterministic source-terminal and source-country thinning with audited branch-layer collapse,0.750000,25.000,782,80,586.500000,11,8.250000,10,Yes,Yes,7.331250,0.085482,1.000000,8.895833,-2.091958,0.214047,1.323110,0.102302,0.021897,No,No,No,rejected after degradation,R-M458 under Direct-child cutset layer with 75.0% source visibility retained gives synthetic A_s=7.331 and D=0.085; decision state: rejected after degradation.,tables/11_branch_unit_reliability_pass_matrix.csv; tables/26_benchmark_audit_card_matrix.csv; source_data/core_figure4_rarefaction_degradation/figure4_synthetic_visibility_fraction_design.csv; source_data/core_figure4_rarefaction_degradation/figure4_rarefaction_degradation_rule_source.csv,"Synthetic degradation control for matched R1a comparators only; deterministic thinning is an operating-characteristic stress test, not a population-size estimate or evidence of geographic origin, ethnic identity, population continuity, chronology, or migration route."
051,R-M458,Direct-child cutset layer,deterministic source-terminal and source-country thinning with audited branch-layer collapse,0.500000,50.000,782,80,391.000000,11,5.500000,10,Yes,Yes,4.887500,0.085482,1.000000,8.895833,-2.091958,0.214047,1.323110,0.102302,0.021897,No,No,No,rejected after degradation,R-M458 under Direct-child cutset layer with 50.0% source visibility retained gives synthetic A_s=4.888 and D=0.085; decision state: rejected after degradation.,tables/11_branch_unit_reliability_pass_matrix.csv; tables/26_benchmark_audit_card_matrix.csv; source_data/core_figure4_rarefaction_degradation/figure4_synthetic_visibility_fraction_design.csv; source_data/core_figure4_rarefaction_degradation/figure4_rarefaction_degradation_rule_source.csv,"Synthetic degradation control for matched R1a comparators only; deterministic thinning is an operating-characteristic stress test, not a population-size estimate or evidence of geographic origin, ethnic identity, population continuity, chronology, or migration route."
052,R-M458,Direct-child cutset layer,deterministic source-terminal and source-country thinning with audited branch-layer collapse,0.250000,75.000,782,80,195.500000,11,2.750000,10,No,Yes,2.443750,0.085482,1.000000,8.895833,-2.091958,0.214047,1.323110,0.102302,0.021897,No,No,No,no-call after degradation because source-country visibility falls below threshold,R-M458 under Direct-child cutset layer with 25.0% source visibility retained gives synthetic A_s=2.444 and D=0.085; decision state: no-call after degradation because source-country visibility falls below threshold.,tables/11_branch_unit_reliability_pass_matrix.csv; tables/26_benchmark_audit_card_matrix.csv; source_data/core_figure4_rarefaction_degradation/figure4_synthetic_visibility_fraction_design.csv; source_data/core_figure4_rarefaction_degradation/figure4_rarefaction_degradation_rule_source.csv,"Synthetic degradation control for matched R1a comparators only; deterministic thinning is an operating-characteristic stress test, not a population-size estimate or evidence of geographic origin, ethnic identity, population continuity, chronology, or migration route."
053,R-M458,Direct-child cutset layer,deterministic source-terminal and source-country thinning with audited branch-layer collapse,0.125000,87.500,782,80,97.750000,11,1.375000,10,No,Yes,1.221875,0.085482,1.000000,8.895833,-2.091958,0.214047,1.323110,0.102302,0.021897,No,No,No,no-call after degradation because source-country visibility falls below threshold,R-M458 under Direct-child cutset layer with 12.5% source visibility retained gives synthetic A_s=1.222 and D=0.085; decision state: no-call after degradation because source-country visibility falls below threshold.,tables/11_branch_unit_reliability_pass_matrix.csv; tables/26_benchmark_audit_card_matrix.csv; source_data/core_figure4_rarefaction_degradation/figure4_synthetic_visibility_fraction_design.csv; source_data/core_figure4_rarefaction_degradation/figure4_rarefaction_degradation_rule_source.csv,"Synthetic degradation control for matched R1a comparators only; deterministic thinning is an operating-characteristic stress test, not a population-size estimate or evidence of geographic origin, ethnic identity, population continuity, chronology, or migration route."
054,R-M458,Direct-child cutset layer,deterministic source-terminal and source-country thinning with audited branch-layer collapse,0.100000,90.000,782,80,78.200000,11,1.100000,10,No,Yes,0.977500,0.085482,1.000000,8.895833,-2.091958,0.214047,1.323110,0.102302,0.021897,No,No,No,no-call after degradation because source-country visibility falls below threshold,R-M458 under Direct-child cutset layer with 10.0% source visibility retained gives synthetic A_s=0.978 and D=0.085; decision state: no-call after degradation because source-country visibility falls below threshold.,tables/11_branch_unit_reliability_pass_matrix.csv; tables/26_benchmark_audit_card_matrix.csv; source_data/core_figure4_rarefaction_degradation/figure4_synthetic_visibility_fraction_design.csv; source_data/core_figure4_rarefaction_degradation/figure4_rarefaction_degradation_rule_source.csv,"Synthetic degradation control for matched R1a comparators only; deterministic thinning is an operating-characteristic stress test, not a population-size estimate or evidence of geographic origin, ethnic identity, population continuity, chronology, or migration route."
055,R-M458,Depth-2 cutset layer,deterministic source-terminal and source-country thinning with audited branch-layer collapse,1.000000,0.000,782,80,782.000000,11,11.000000,10,Yes,Yes,9.775000,0.085476,1.000000,8.895833,-2.091958,0.214047,1.323110,0.102302,0.021897,No,No,No,rejected after degradation,R-M458 under Depth-2 cutset layer with 100.0% source visibility retained gives synthetic A_s=9.775 and D=0.085; decision state: rejected after degradation.,tables/11_branch_unit_reliability_pass_matrix.csv; tables/26_benchmark_audit_card_matrix.csv; source_data/core_figure4_rarefaction_degradation/figure4_synthetic_visibility_fraction_design.csv; source_data/core_figure4_rarefaction_degradation/figure4_rarefaction_degradation_rule_source.csv,"Synthetic degradation control for matched R1a comparators only; deterministic thinning is an operating-characteristic stress test, not a population-size estimate or evidence of geographic origin, ethnic identity, population continuity, chronology, or migration route."
056,R-M458,Depth-2 cutset layer,deterministic source-terminal and source-country thinning with audited branch-layer collapse,0.750000,25.000,782,80,586.500000,11,8.250000,10,Yes,Yes,7.331250,0.085476,1.000000,8.895833,-2.091958,0.214047,1.323110,0.102302,0.021897,No,No,No,rejected after degradation,R-M458 under Depth-2 cutset layer with 75.0% source visibility retained gives synthetic A_s=7.331 and D=0.085; decision state: rejected after degradation.,tables/11_branch_unit_reliability_pass_matrix.csv; tables/26_benchmark_audit_card_matrix.csv; source_data/core_figure4_rarefaction_degradation/figure4_synthetic_visibility_fraction_design.csv; source_data/core_figure4_rarefaction_degradation/figure4_rarefaction_degradation_rule_source.csv,"Synthetic degradation control for matched R1a comparators only; deterministic thinning is an operating-characteristic stress test, not a population-size estimate or evidence of geographic origin, ethnic identity, population continuity, chronology, or migration route."
057,R-M458,Depth-2 cutset layer,deterministic source-terminal and source-country thinning with audited branch-layer collapse,0.500000,50.000,782,80,391.000000,11,5.500000,10,Yes,Yes,4.887500,0.085476,1.000000,8.895833,-2.091958,0.214047,1.323110,0.102302,0.021897,No,No,No,rejected after degradation,R-M458 under Depth-2 cutset layer with 50.0% source visibility retained gives synthetic A_s=4.888 and D=0.085; decision state: rejected after degradation.,tables/11_branch_unit_reliability_pass_matrix.csv; tables/26_benchmark_audit_card_matrix.csv; source_data/core_figure4_rarefaction_degradation/figure4_synthetic_visibility_fraction_design.csv; source_data/core_figure4_rarefaction_degradation/figure4_rarefaction_degradation_rule_source.csv,"Synthetic degradation control for matched R1a comparators only; deterministic thinning is an operating-characteristic stress test, not a population-size estimate or evidence of geographic origin, ethnic identity, population continuity, chronology, or migration route."
058,R-M458,Depth-2 cutset layer,deterministic source-terminal and source-country thinning with audited branch-layer collapse,0.250000,75.000,782,80,195.500000,11,2.750000,10,No,Yes,2.443750,0.085476,1.000000,8.895833,-2.091958,0.214047,1.323110,0.102302,0.021897,No,No,No,no-call after degradation because source-country visibility falls below threshold,R-M458 under Depth-2 cutset layer with 25.0% source visibility retained gives synthetic A_s=2.444 and D=0.085; decision state: no-call after degradation because source-country visibility falls below threshold.,tables/11_branch_unit_reliability_pass_matrix.csv; tables/26_benchmark_audit_card_matrix.csv; source_data/core_figure4_rarefaction_degradation/figure4_synthetic_visibility_fraction_design.csv; source_data/core_figure4_rarefaction_degradation/figure4_rarefaction_degradation_rule_source.csv,"Synthetic degradation control for matched R1a comparators only; deterministic thinning is an operating-characteristic stress test, not a population-size estimate or evidence of geographic origin, ethnic identity, population continuity, chronology, or migration route."
059,R-M458,Depth-2 cutset layer,deterministic source-terminal and source-country thinning with audited branch-layer collapse,0.125000,87.500,782,80,97.750000,11,1.375000,10,No,Yes,1.221875,0.085476,1.000000,8.895833,-2.091958,0.214047,1.323110,0.102302,0.021897,No,No,No,no-call after degradation because source-country visibility falls below threshold,R-M458 under Depth-2 cutset layer with 12.5% source visibility retained gives synthetic A_s=1.222 and D=0.085; decision state: no-call after degradation because source-country visibility falls below threshold.,tables/11_branch_unit_reliability_pass_matrix.csv; tables/26_benchmark_audit_card_matrix.csv; source_data/core_figure4_rarefaction_degradation/figure4_synthetic_visibility_fraction_design.csv; source_data/core_figure4_rarefaction_degradation/figure4_rarefaction_degradation_rule_source.csv,"Synthetic degradation control for matched R1a comparators only; deterministic thinning is an operating-characteristic stress test, not a population-size estimate or evidence of geographic origin, ethnic identity, population continuity, chronology, or migration route."
